"term","score"
"space",286.644464077217
"london",284.50863938252
"certainly",283.960533412977
"corner",283.541712179806
"balcony",283.518337475468
"cheap",281.017792217772
"facilities",280.993562533714
"bars",280.363911368581
"actually",279.87526560382
"leave",279.563676376138
"french",279.370643805004
"real",276.942612936148
"expected",276.51678196884
"shops",276.467110277032
"years",276.093937395931
"local",275.131653714804
"nearby",274.875716928249
"decor",274.556091482353
"cold",273.730750555419
"spa",273.283994988987
"person",271.32200079214
"kept",271.280013427728
"busy",270.385320261536
"luggage",270.303809602989
"warm",269.226076889616
"ate",268.566290846017
"road",268.517643768433
"decent",267.747342059711
"tea",265.980693331474
"downtown",265.661867392688
"manager",265.228432721818
"including",264.751925155335
"booking",263.804195275499
"window",263.155166380888
"world",262.200813613156
"bathrooms",262.139319561675
"cost",261.494022720519
"areas",260.102235446253
"let",259.941026289974
"children",258.906841395203
"decorated",258.47386540129
"windows",257.866138173748
"arrival",257.409423253006
"reservations",256.640122698381
"provided",255.807852423855
"ready",255.457421656918
"reasonable",255.36771711305
"charge",254.560593449626
"honeymoon",253.176415577417
"juan",252.55135387212
"offered",252.310169021964
"shuttle",252.00844142536
"superb",251.702876590196
"market",251.286252324865
"fact",250.250728847791
"king",250.185106138017
"walked",248.562208634165
"ride",248.50453844366
"bring",248.388792888433
"tourist",247.890453623834
"site",247.864092097342
"line",247.626567557497
"prices",247.498951140154
"8",247.040945540356
"yes",246.470163846578
"major",246.098809473857
"grounds",245.863500788296
"style",245.607191719677
"seattle",245.441652817813
"lunch",245.423227467864
"light",245.348276960335
"hear",244.644833440201
"liked",242.94455095775
"fruit",242.851831677764
"website",241.24739205937
"definately",240.560105186649
"house",239.561525968237
"spend",239.449380710075
"york",239.100961274939
"speak",238.876296381317
"relaxing",238.868306198073
"bedroom",238.134602359918
"reading",237.490366989121
"awesome",237.059634340686
"hilton",237.027227738344
"reservation",236.553143342442
"kind",236.2362734865
"tried",236.04891825684
"making",235.29730123668
"complimentary",235.279473024362
"attractions",235.150824661963
"cool",235.009412804014
"run",234.735484708974
"group",233.938072092289
"needs",233.760967384211
"plaza",233.247143632742
"flight",233.191780411507
"tiny",232.704964909056
"poor",232.264741858434
"island",231.950091669473
"mini",231.59244614476
"tower",230.388701592395
"dirty",229.183007187296
"amenities",226.904935361776
"st",226.165422448446
"entertainment",225.857906366904
"spanish",225.79451644165
"palace",224.740799308427
"decided",224.530795560235
"upgraded",224.494311617281
"start",224.244924975707
"priced",224.024693581177
"half",223.418363167029
"served",222.067580395898
"change",221.447021207555
"impressed",220.825128447891
"later",220.444169088093
"mins",220.206649633677
"super",219.855509141332
"recently",219.807641479233
"suites",219.515797571601
"ramblas",219.366409831046
"basic",219.290617366236
"grand",219.09106809674
"care",218.252338790581
"non",216.870541627635
"saw",216.477758252701
"quick",216.189416320378
"efficient",215.403576633108
"offer",214.661986734984
"cafe",214.170724915539
"seen",214.027690138514
"harbour",213.627739296995
"rest",213.437881678459
"level",213.27663264036
"review",213.119103199727
"welcome",212.384149342875
"selection",212.380558251801
"single",212.330623863482
"guest",212.246125835115
"card",212.211541411023
"pools",212.101363068831
"course",211.964711125095
"chairs",211.453064312013
"tip",211.026005018328
"rude",210.81830704978
"worked",210.481148977823
"subway",209.653215267309
"luxury",209.055466432456
"negative",208.975645108026
"francisco",208.413538445582
"chose",206.747535666532
"adequate",206.395934115151
"cruise",206.394065866625
"wedding",206.383950281338
"atmosphere",205.714894123149
"point",205.693698367416
"set",205.675428508894
"middle",204.372959542112
"polite",204.246988866492
"sydney",204.219992787551
"break",204.164589182765
"working",203.960861659044
"dining",203.133001623268
"met",203.098099079916
"continental",203.064879596006
"complaint",203.016451814949
"charming",202.868562161352
"maybe",202.811121510448
"outstanding",202.654526963367
"overlooking",202.636162587643
"tub",202.221923233274
"elevator",201.815542266668
"bali",201.752070424203
"public",201.612257490227
"twice",201.46583666847
"pleased",201.247139233286
"phone",200.974517768088
"nicely",200.863995854231
"ideal",200.337660546054
"dont",200.304202670053
"mind",199.399603814759
"12",199.226602053331
"smoking",199.015642293355
"weather",198.916372413755
"surprised",198.850155782746
"daughter",198.680995375899
"entire",198.389280300738
"italian",198.203589727835
"previous",198.109417326327
"order",198.108765678238
"gorgeous",197.994184578817
"class",197.493998508402
"choose",197.422564929503
"appointed",197.398647097493
"cleaned",197.334414485024
"bags",196.683786906613
"worst",196.579939565767
"conditioning",196.225728421109
"meal",196.070688886057
"believe",195.953028619235
"spoke",195.772096074858
"westin",195.303359732379
"housekeeping",194.868843291792
"table",194.858832566336
"nyc",194.403546376174
"terrible",194.199637387813
"attentive",193.902024478508
"wall",193.767674075501
"canal",193.389189817624
"truly",192.454570317458
"activities",192.33272534028
"number",192.249899296843
"standards",191.573746220753
"upgrade",191.477199368846
"courtyard",190.99508210196
"berlin",190.494584454479
"glass",190.342048688693
"complaints",189.93233929655
"w",189.860808201688
"boston",189.825566351976
"walls",189.582031277259
"touch",189.549180808515
"professional",189.508744932086
"european",189.45951094894
"9",189.309362973799
"didnt",189.00538839917
"tell",188.762122085254
"heart",188.557849011245
"coming",188.535420974026
"afternoon",188.216951898753
"comfy",188.196708447372
"garden",188.086924931279
"marriott",186.611686686649
"cab",186.494241041201
"budget",186.041456833969
"okay",185.881305776723
"party",185.880347174796
"toilet",185.713075002263
"gym",185.203803292676
"waiting",185.094650504082
"resorts",185.040501823712
"expectations",184.843462068096
"birthday",184.807284644399
"makes",184.700374711198
"24",184.325428711971
"trying",183.985648476663
"music",183.688982863743
"smell",183.473688865789
"ritz",183.305623929069
"customer",183.156031527684
"true",183.082045608186
"american",182.981063395892
"heard",182.825058126882
"daily",182.649128715593
"spotless",182.537440799675
"district",181.806060015475
"sights",181.654502830494
"relax",181.292357267146
"pillows",181.283960812585
"directly",181.172749691239
"key",181.170289928814
"singapore",181.065358657273
"delicious",180.946999362024
"received",180.787461606397
"request",180.65969043379
"courteous",180.274507644308
"friend",180.1008227617
"taken",179.792575729238
"weeks",179.759018044766
"variety",179.407954855113
"100",179.28648010489
"sun",179.050518172083
"based",178.698804704023
"fridge",178.229755097151
"orleans",178.05106496846
"shop",177.287792390179
"particularly",176.854312056366
"min",176.803509275807
"wrong",176.77904470872
"quarter",176.385958566942
"pricey",176.322803244433
"instead",175.929082322855
"fault",175.59451730829
"waikiki",175.580288264336
"requested",175.519995154515
"floors",174.83987723425
"11",174.766842369757
"doors",174.356898317052
"easily",174.115768853175
"brought",173.941382090518
"royal",173.938543606351
"spot",173.720017573896
"taking",173.614304180236
"moved",173.118926072562
"situated",173.058152029738
"wish",172.03457697144
"hong",171.590956640299
"private",171.499845018494
"finally",171.158405143657
"sit",171.061302305617
"simply",170.708832443198
"inside",170.658601961985
"tram",170.578379049831
"bottle",170.504568095878
"sick",170.442842253746
"dominican",170.390666241249
"note",170.264438356961
"loud",170.1691537712
"dark",170.013299356115
"soon",169.962615821996
"son",169.641115299337
"beat",169.639973838291
"welcoming",169.536387410163
"turn",169.297381155898
"50",169.241628490842
"neighborhood",168.840783028254
"young",168.791809964025
"construction",168.768874322069
"thanks",168.256222601541
"boutique",168.148035168521
"executive",167.945668554626
"past",167.697719104883
"white",167.683656890155
"euro",167.631635349329
"helped",167.540647982335
"tripadvisor",167.53772277276
"issue",167.32795526972
"watch",167.309319917981
"checking",167.255213948939
"kong",166.850430875553
"union",166.426501656045
"unless",165.765279618362
"usually",165.582652263902
"turned",165.462624766968
"despite",165.366263008619
"casino",164.939827975026
"fairly",163.534843396164
"inclusive",163.534472383825
"europe",163.487738360212
"las",163.444834778516
"menu",163.333418287636
"management",163.179737115326
"flat",163.176490745026
"eating",163.119037750091
"sites",163.036337177077
"terrace",162.979012616783
"march",162.837905979881
"cheese",162.828245612591
"horrible",162.747714989385
"package",162.68774515755
"thank",162.332936653554
"remember",161.996882411873
"valet",161.949771352827
"sized",161.905248940569
"riu",161.712046398237
"ended",161.432235398723
"alot",160.901960089564
"shows",160.894052150564
"visited",160.253341513311
"visiting",160.250312934479
"mentioned",160.196584264878
"low",160.161961609422
"eggs",160.085399534946
"favorite",160.032002084153
"maintained",159.879393921292
"plan",159.778586389467
"reasonably",159.42481881066
"terrific",159.120301653135
"madrid",159.054307730368
"avoid",159.018480253858
"stars",158.851409088953
"surprise",158.663764118408
"enjoyable",158.617382323621
"changed",158.233666223513
"closed",157.979431955229
"pick",157.50296859223
"cable",157.433896887853
"gem",157.258280266481
"tired",157.154628641394
"rates",157.145984326685
"store",156.876467635248
"positive",156.739700368859
"luxurious",156.703484788851
"screen",156.476630783271
"furniture",156.374007549787
"head",156.327113155691
"june",156.22227325329
"design",156.184839446719
"c",156.036767049132
"perfectly",155.71049402478
"brilliant",155.418277102371
"slow",155.139611589322
"separate",155.119319761621
"life",155.113336055954
"kitchen",155.068360964298
"bavaro",155.001341813076
"hope",154.844184991313
"nicer",154.762169440378
"sitting",154.333494254553
"compared",154.163102777798
"quickly",154.134923711869
"buy",154.095994200123
"sheets",153.941513019648
"wo",153.785387259773
"deluxe",153.743412202543
"july",153.440761153353
"returning",153.161454614056
"charged",153.154430590532
"bother",153.034624688044
"country",152.580189667573
"museum",152.481096263473
"tokyo",152.2222153398
"meals",152.197604481839
"river",152.000423635058
"larger",151.940208621487
"april",151.927398929344
"limited",151.486272963712
"understand",151.43137613075
"renovated",151.296490685914
"exceptional",151.204130712422
"stairs",150.870476087057
"maid",150.861106832591
"directions",150.45265725463
"25",150.3171304613
"crowded",150.202334924268
"incredible",150.099538592887
"type",149.92833853299
"slightly",149.89610317193
"paying",149.845001208707
"traffic",149.799177486767
"leaving",149.582621972026
"live",149.411291663246
"seeing",149.331913068116
"completely",149.255379888304
"advice",149.126506091947
"exactly",148.809248759521
"japanese",148.789854418378
"miss",147.75314532526
"moment",147.740294378945
"cheaper",147.666074965086
"agree",147.664474240064
"swim",147.558797945558
"knew",147.390620860275
"romantic",147.389715417554
"job",147.172688901646
"swimming",146.990932831649
"simple",146.752949780252
"points",146.731432634541
"superior",146.648809877778
"well",146.413053017824
"services",146.356829343707
"overpriced",146.338868107478
"guess",146.285643820626
"facing",146.257247405401
"advisor",146.029975669022
"breakfasts",145.985319367754
"boyfriend",145.720784271567
"beer",145.666223002733
"greeted",145.612101357224
"looks",145.486661010953
"ones",145.109161132262
"00",144.96136378568
"reason",144.910483984205
"stops",144.903970743856
"using",144.685900725047
"hand",144.328654990895
"none",143.666278301795
"cleaning",143.230869670022
"opened",143.173223889555
"immediately",142.597147441421
"lack",142.398062653611
"snacks",142.169376640416
"prepared",142.08768793273
"roof",141.88554205253
"totally",141.781605491346
"stylish",141.555569275509
"everyday",141.482713852437
"ice",141.376230299641
"considering",141.375702482237
"traveling",141.103686460041
"queen",140.789641211456
"juice",140.787014171671
"drive",140.703825621278
"difficult",140.671348669418
"duomo",140.49810156353
"bridge",140.078204068131
"beautifully",139.920980808135
"mall",139.911097710172
"red",139.767919904725
"possible",139.546898527426
"experienced",138.795322949698
"treat",138.717916521878
"anniversary",138.676871940572
"smile",138.37047685086
"stuff",138.363154758168
"trips",138.269832366591
"sightseeing",138.161018850884
"mention",138.042375508332
"italy",137.93785994848
"takes",137.837573243419
"treated",137.816797596487
"unfortunately",137.754499727461
"complain",137.315937321517
"spectacular",137.126045263806
"goes",137.073406844606
"champagne",137.053974573457
"items",136.708563518159
"interesting",136.625392746087
"general",136.292753470971
"villa",136.270249566738
"sand",136.01626668046
"el",135.731559815674
"smaller",135.425242482415
"streets",135.278575276951
"questions",135.061805923935
"ago",134.983561231407
"credit",134.973542547462
"entrance",134.968844896392
"trouble",134.744002785198
"choices",134.574452692481
"typical",134.464216532807
"offers",134.369345511835
"soft",134.361926139211
"travelling",134.33264473231
"recommendations",134.324190597746
"steps",134.267497705684
"centrally",133.955948028546
"3rd",133.383533796797
"fast",133.368618437444
"living",133.317372117606
"oh",133.170703059464
"information",133.00884807018
"couples",132.86516960376
"downstairs",132.642640342455
"blue",132.561958096727
"transport",132.473243093304
"slept",132.380356743026
"suggest",132.121534970579
"consider",131.953742865529
"2nd",131.790215179376
"furnished",131.731197464956
"glad",131.724193730839
"base",131.614010882029
"t",131.290425829763
"matter",131.217951842476
"e",131.033732142283
"tropical",130.68660373044
"puerto",130.142915914415
"personal",130.076029037162
"longer",129.891742366923
"toiletries",129.754693880814
"venice",129.631520982907
"guy",129.60433256855
"majestic",129.558477471106
"august",129.471794041652
"2007",129.402779278529
"u",129.402484338073
"literally",129.354642337238
"art",129.226306670612
"awful",128.902602737745
"disappointing",128.754718663248
"forget",128.711595622739
"sea",128.677951793274
"equipped",128.465590151389
"rating",128.442147330654
"excellence",128.322857735388
"started",128.248190477906
"options",128.19192586079
"provide",128.167955303014
"arrive",128.111132613586
"closet",128.011411097292
"comments",127.433475520752
"somewhat",127.095815769721
"sound",127.048559966136
"carpet",126.901101471844
"higher",126.754941361762
"attention",126.623420616458
"paradise",126.56259538722
"issues",126.285927889353
"case",126.08986638799
"prior",125.827792627446
"planning",125.710251663728
"twin",125.385374882256
"marble",125.378325430029
"s",125.365919856619
"thoroughly",125.2679011338
"accomodating",125.136722168515
"security",125.052397874884
"member",125.029252317416
"tourists",124.891562635496
"employees",124.830039139156
"cafes",124.826554350673
"important",124.561974246692
"bay",124.533813376933
"pm",124.477365812968
"expecting",124.434988570095
"chinese",124.36764181436
"generally",124.174903464936
"dollars",124.043926407568
"opposite",123.589745571024
"conference",123.535624751106
"future",123.40154960509
"comfort",123.35835712601
"chair",123.279644643047
"older",123.216797086471
"steak",123.020924649665
"chain",122.980077968637
"sofitel",122.753147948634
"wireless",122.743532131084
"2006",122.666581676341
"2008",122.476976913754
"speaking",122.439626413567
"elevators",122.333620875168
"sent",122.232945603909
"reviewers",122.040054527915
"jacuzzi",122.016599008813
"broken",121.672366533906
"pleasantly",121.591437841762
"golf",121.529575466181
"museums",121.460029358386
"lift",121.270994702199
"forward",120.916159880219
"feeling",120.770134845421
"pressure",120.297243264083
"saying",120.23035753168
"meet",120.099890213818
"tours",120.065102805304
"hyatt",119.771521155956
"apartment",119.699856792405
"lost",119.446847991172
"christmas",119.435358810117
"immaculate",119.331328068878
"fish",119.206845509226
"seasons",118.99610905873
"man",118.928115114564
"allowed",118.629964282539
"minor",118.584079834404
"beware",118.444055878986
"sleeping",118.39188888962
"pictures",118.139146874024
"added",117.859713577007
"whilst",117.668938287534
"gets",117.460956047232
"north",117.35097560063
"taxis",117.33498651092
"usual",117.267932703928
"40",117.254576148357
"families",117.240400651245
"incredibly",117.057165738572
"sf",116.946438038918
"month",116.93652887697
"transportation",116.932975080879
"handy",116.731625030773
"appreciated",116.638544425003
"wow",116.593045259272
"adults",116.586061791813
"sign",116.545949711085
"travelers",116.301004733745
"bread",116.284447586573
"sink",116.237011334433
"pastries",115.90575720288
"willing",115.81044113037
"means",115.737590880899
"hesitate",115.521928112958
"fair",115.430726801324
"5th",115.224501340793
"picked",115.219320511337
"mid",115.028807558044
"dated",114.988356232537
"bigger",114.969836938609
"rain",114.936709714315
"months",114.867990840109
"tips",114.84215721583
"stocked",114.6386087486
"idea",114.4880099893
"beaches",114.288625027083
"princess",114.242332539776
"pleasure",113.888294486867
"carte",113.695020209004
"chocolate",113.69174084132
"clear",113.610093593561
"round",113.568832195709
"complete",113.444279458089
"grill",113.440754231276
"traveled",113.425786708417
"range",113.295434442161
"noticed",113.277872202863
"saturday",113.156751433517
"cleanliness",113.082231163622
"advance",112.994209476716
"buildings",112.742167284818
"running",112.708193930412
"mexico",112.696886922317
"machine",112.670709228774
"caribe",112.577548907612
"south",112.312483668105
"attitude",112.283562840183
"mexican",112.220693476741
"2004",112.215174545208
"apart",112.210514558844
"towel",112.180331523019
"14",112.008175175003
"rooftop",111.986806138828
"regular",111.396484482061
"beijing",111.344737244312
"charm",110.922853751561
"downside",110.738626979698
"finding",110.738071790473
"october",110.689531810997
"option",110.642365788031
"smoke",110.587560582187
"ceiling",110.5774492181
"ground",110.504990457268
"various",110.32363861551
"arriving",110.187274792967
"online",110.145405574483
"boat",110.016051436519
"ordered",109.938065852028
"lucky",109.767478115671
"imagine",109.766239700535
"bonus",109.764641408141
"comment",109.478884981226
"language",109.35632522504
"tube",109.20592506331
"massage",109.107178199285
"driver",109.038253830528
"fully",109.000552585505
"bugs",108.958521922761
"buses",108.865908386267
"asking",108.815849074555
"linens",108.612717721722
"elegant",108.593015362457
"junior",108.451286686227
"chance",108.170157753861
"opinion",107.931628889542
"foot",107.855843802365
"summer",107.770826142236
"lower",107.531234268099
"seafood",107.5143305783
"gardens",107.294756924034
"pizza",107.27575100376
"ny",107.237700247995
"b",106.855319714806
"email",106.749401936894
"agent",106.708660832508
"stunning",106.669295044503
"garage",106.606387932903
"sister",106.425717398377
"secrets",106.407575042471
"company",106.262704395632
"worse",106.153425620466
"1st",106.151339739612
"word",105.825074475579
"wharf",105.605290139895
"pass",105.584216645816
"lines",105.568162867368
"save",105.511637173964
"spending",105.494282486942
"managed",105.159740165167
"2005",105.010827206376
"catalunya",104.994527989423
"rico",104.964162128257
"underground",104.946407696716
"serve",104.824930958008
"november",104.811756245692
"complained",104.696706243184
"january",104.602686839211
"fab",104.583151244796
"accommodating",104.372738841924
"explore",104.359557944739
"taste",104.105655177406
"impressive",103.991175853304
"hall",103.975954623048
"cozy",103.956224617361
"straight",103.817960965209
"obviously",103.712305721126
"tables",103.616772083789
"delivered",103.529569445936
"furnishings",103.477247022436
"bright",103.039267374426
"rambla",102.964175120937
"fan",102.958645641044
"18",102.86708650905
"basically",102.7531450422
"following",102.73086210803
"melia",102.709281772157
"write",102.672605677647
"minibar",102.52224612505
"eiffel",102.479185442288
"lady",102.36341430762
"members",102.287195381545
"hair",102.245309167107
"earlier",101.93582313357
"receptionist",101.911483370469
"4th",101.702244823005
"common",101.552285789428
"cant",101.420501820006
"unique",101.178398083279
"channels",101.139217869465
"tickets",100.930283396023
"buffets",100.821095377964
"sort",100.809558054285
"lights",100.787135152262
"september",100.782990832794
"worried",100.490507201358
"total",100.380980721451
"apple",100.364662189769
"fixed",100.363811947424
"bargain",100.267971673948
"smelled",100.209237530488
"bell",100.108307466283
"caribbean",100.07959560925
"nicest",99.9760729579316
"advantage",99.972052567193
"dam",99.9578948199895
"guys",99.8236188959288
"wide",99.7726079325641
"locals",99.7444533237895
"list",99.6765067321667
"comes",99.4711560903854
"fee",99.4260597565607
"spotlessly",99.2538422903246
"ac",99.1808120159595
"girlfriend",99.0833823098339
"sofa",99.076625279087
"fancy",99.0634626744495
"setting",98.9771284443311
"worn",98.9349337165331
"travellers",98.7920122425266
"16",98.736562508299
"reserved",98.4086150957536
"add",98.3978065095067
"sight",98.1718189547283
"relatively",97.9807044816162
"aware",97.936891869918
"catch",97.9092983421249
"ferry",97.8799979506703
"costs",97.8718237600172
"feet",97.8022343798811
"sunday",97.7414801368825
"normal",97.7240682433393
"annoying",97.5941751405281
"stations",97.5894622186753
"mean",97.3526608084587
"outdoor",97.2985259025482
"office",97.0097151073541
"waited",96.6558033007792
"placed",96.5831537771471
"arranged",96.5798883755676
"disco",96.5509783470882
"pre",96.3641047132593
"difference",96.361218010309
"heat",96.2764772967851
"flowers",96.2392254062497
"december",96.0789723770607
"disappointment",96.0707021443112
"calls",95.8145889582997
"cereal",95.8100563985567
"numerous",95.6921048152805
"rated",95.4777357820386
"delightful",94.869219431489
"face",94.8079442081021
"position",94.6928043309344
"overlooked",94.6754051625691
"recent",94.672371179238
"interior",94.616153318129
"particular",94.5773748555044
"watching",94.5442169931795
"opera",94.4895198500442
"touches",94.4514220628955
"expedia",94.4273018629532
"section",94.2602132104413
"le",94.2164560794459
"concerned",94.1972079341693
"giving",94.0585848881854
"prefer",94.0562417234396
"stores",94.0228131836334
"bottled",94.0069730941936
"paper",94.001485057868
"fit",93.9987034947613
"additional",93.9898066862625
"trendy",93.8692224271052
"nearly",93.7085828589814
"works",93.5166294104446
"meant",93.4795497465406
"east",93.3996922681669
"similar",93.3399081650935
"gone",93.3360714573852
"mixed",93.2846392809124
"careful",93.2578701950896
"encountered",93.2451061009087
"stand",93.2269354352667
"notice",92.9228452406427
"missed",92.8750791903676
"closer",92.8415021470708
"iberostar",92.7265377047355
"biggest",92.6323366632025
"lighting",92.6054388285267
"clerk",92.3089702289669
"microwave",92.2657445665156
"china",92.2391109410419
"missing",92.0725490376613
"play",92.00958529395
"orchard",91.8582911107175
"happened",91.7793547145988
"filled",91.77309215493
"girls",91.6025556748878
"getaway",91.466349044033
"hit",91.367536810863
"map",91.3002803542123
"affordable",91.2102793218677
"state",91.0285505688986
"exceptionally",90.9967867838073
"web",90.9496344367014
"satisfied",90.9232833768164
"convenience",90.91382580056
"informed",90.8270694305336
"charges",90.7913728197945
"travelled",90.7044124848106
"uncomfortable",90.6781686724306
"showed",90.5987305967098
"peaceful",90.5722108517586
"sheraton",90.4748222287841
"contact",90.4603121409685
"conveniently",90.3722207666154
"avenue",90.2539617138003
"45",90.1119711403266
"relaxed",90.0614120115649
"tasty",90.0570667345084
"clothes",89.9038842182506
"pillow",89.8833598018311
"designed",89.6036896133827
"bottles",89.5562298455182
"96",89.3207811231466
"black",89.2055398712216
"showers",89.1503179146781
"hk",89.1202982613785
"owners",89.0923400902675
"partner",88.9773327443692
"exceeded",88.9766104740405
"plentiful",88.7761009658826
"friday",88.7409615918798
"strong",88.7221768202452
"beginning",88.6728033415403
"200",88.5115893443491
"americans",88.5086938025978
